iter	Passed	Remaining
0	1	162
1	3	164
2	4	150
3	5	140
4	7	138
5	8	136
6	11	152
7	12	149
8	14	146
9	15	143
10	17	141
11	18	138
12	20	135
13	21	134
14	23	132
15	25	131
16	26	129
17	27	127
18	29	124
19	30	122
20	31	119
21	33	118
22	34	116
23	36	114
24	37	113
25	39	112
26	40	110
27	42	108
28	43	107
29	45	105
30	46	104
31	48	102
32	49	100
33	51	99
34	52	97
35	55	98
36	57	97
37	58	95
38	60	93
39	61	92
40	62	90
41	63	87
42	64	86
43	66	84
44	67	82
45	69	81
46	71	80
47	73	79
48	74	77
49	76	76
50	77	74
51	79	73
52	80	71
53	83	70
54	84	68
55	85	67
56	87	65
57	89	64
58	90	62
59	91	61
60	93	59
61	94	58
62	97	57
63	98	55
64	100	53
65	101	52
66	103	50
67	104	49
68	105	47
69	107	45
70	108	44
71	109	42
72	111	41
73	112	39
74	114	38
75	115	36
76	117	35
77	118	33
78	120	31
79	121	30
80	123	28
81	124	27
82	126	25
83	128	24
84	129	22
85	131	21
86	132	19
87	134	18
88	135	16
89	136	15
90	138	13
91	139	12
92	141	10
93	142	9
94	144	7
95	145	6
96	147	4
97	148	3
98	149	1
99	151	0
