iter	Passed	Remaining
0	150	150473
1	152	75910
2	153	51068
3	155	38640
4	158	31564
5	160	26544
6	161	22928
7	162	20204
8	164	18084
9	165	16389
10	166	15013
11	168	13852
12	169	12870
13	172	12141
14	173	11410
15	175	10766
16	176	10205
17	177	9698
18	179	9243
19	180	8831
20	181	8463
21	182	8125
22	184	7820
23	186	7564
24	187	7310
25	188	7066
26	190	6849
27	191	6644
28	192	6450
29	193	6271
30	195	6100
31	196	5944
32	197	5801
33	199	5677
34	201	5553
35	202	5430
36	204	5316
37	205	5202
38	206	5095
39	208	4994
40	209	4896
41	210	4805
42	211	4714
43	214	4651
44	215	4575
45	217	4503
46	218	4431
47	219	4362
48	221	4296
49	222	4232
50	224	4169
51	225	4108
52	226	4048
53	228	4006
54	230	3955
55	231	3904
56	233	3858
57	234	3810
58	235	3762
59	237	3716
60	238	3672
61	239	3628
62	242	3613
63	244	3575
64	245	3535
65	247	3499
66	248	3464
67	253	3477
68	258	3489
69	260	3458
70	261	3424
71	263	3391
72	264	3359
73	265	3327
74	267	3299
75	269	3270
76	270	3241
77	274	3242
78	275	3215
79	277	3188
80	278	3164
81	280	3138
82	281	3107
83	282	3082
84	284	3058
85	285	3032
86	287	3020
87	289	2997
88	290	2972
89	291	2947
90	292	2926
91	294	2903
92	295	2881
93	297	2864
94	298	2844
95	300	2832
96	302	2817
97	304	2798
98	305	2779
99	306	2760
100	308	2741
101	309	2724
102	310	2707
103	312	2690
104	313	2675
105	316	2669
106	318	2655
107	319	2639
108	321	2625
109	322	2610
110	324	2596
111	325	2582
112	327	2568
113	328	2555
114	331	2548
115	332	2536
116	333	2520
117	335	2507
118	336	2494
119	338	2481
120	339	2467
121	341	2454
122	342	2443
123	344	2431
124	347	2430
125	348	2420
126	350	2408
127	351	2397
128	353	2387
129	355	2377
130	356	2366
131	358	2357
132	362	2363
133	364	2353
134	366	2345
135	367	2337
136	369	2327
137	370	2317
138	372	2309
139	377	2317
140	381	2321
141	383	2316
142	386	2313
143	388	2307
144	393	2317
145	395	2314
146	397	2308
147	399	2299
148	400	2289
149	402	2280
150	403	2271
151	408	2276
152	409	2269
153	411	2261
154	413	2253
155	414	2244
156	416	2236
157	417	2226
158	419	2217
159	423	2221
160	424	2211
161	426	2206
162	428	2197
163	429	2190
164	431	2182
165	432	2174
166	434	2166
167	436	2163
168	439	2159
169	440	2152
170	442	2145
171	444	2138
172	445	2130
173	447	2122
174	448	2114
175	449	2106
176	452	2103
177	454	2098
178	456	2092
179	457	2085
180	459	2078
181	460	2071
182	462	2063
183	463	2056
184	466	2054
185	468	2050
186	470	2044
187	471	2038
188	473	2031
189	475	2025
190	476	2019
191	478	2015
192	482	2018
193	484	2012
194	485	2005
195	487	2000
196	489	1995
197	491	1990
198	493	1984
199	497	1988
200	498	1983
201	500	1977
202	502	1971
203	503	1966
204	505	1960
205	507	1954
206	508	1948
207	512	1951
208	514	1945
209	515	1940
210	517	1936
211	519	1931
212	521	1925
213	522	1919
214	524	1915
215	526	1911
216	528	1906
217	530	1904
218	532	1899
219	534	1893
220	535	1887
221	537	1882
222	538	1876
223	540	1872
224	542	1868
225	544	1863
226	545	1858
227	547	1854
228	549	1848
229	550	1843
230	552	1837
231	553	1832
232	555	1829
233	557	1826
234	559	1821
235	561	1816
236	562	1810
237	563	1804
238	564	1798
239	566	1793
240	567	1787
241	569	1783
242	571	1780
243	573	1775
244	574	1770
245	576	1765
246	577	1760
247	578	1755
248	580	1750
249	581	1744
250	585	1746
251	587	1743
252	588	1737
253	590	1733
254	591	1728
255	592	1723
256	594	1717
257	595	1712
